Date,Symbol,Open,High,Low,Close,Volume
2026-07-17,LTC/USD,44.885,45.82,44.1,45.1408,11.146365134
2026-07-18,LTC/USD,45.1685,47.8411,44.985,46.9845,16.890131903
2026-07-19,LTC/USD,47.01635,47.74,46.58,47.03585,4.893089259
2026-07-20,LTC/USD,47.01875,47.776,46.4002,47.34,12.143375522
2026-07-21,LTC/USD,47.297,47.6587,47.11,47.47,0.124431
2026-07-22,LTC/USD,46.82425,47.59255,46.2505,47.5026,37.854855908
2026-07-23,LTC/USD,47.105,47.51875,46.14,47.1181,4.197061865
2026-07-24,LTC/USD,46.908,47.379,45.93,46.1354,3.687012507
2026-07-25,LTC/USD,46.3055,46.643,45.6771,46.52,4.435710346
2026-07-26,LTC/USD,46.5435,48.227,46.447,47.8204,10.001903603
2026-07-27,LTC/USD,47.78,47.78,46.1765,46.5481,20.900322302
2026-07-28,LTC/USD,46.01995,46.782,45.91565,46.331,3.397219767
2026-07-29,LTC/USD,46.13605,46.315,44.2,44.66145,6.519661243
2026-07-30,LTC/USD,45.4007,45.7845,44.83,45.76325,10.607355559
2026-07-31,LTC/USD,45.5514,45.848,44.61735,44.64785,6.19819754
2026-08-01,LTC/USD,44.28105,44.7085,43.6035,44.19,5.165131141
2026-08-02,LTC/USD,44.2093,45.05,44.08075,44.62005,7.109504491
2026-08-03,LTC/USD,44.6464,44.81,43.975,44.31685,7.361139352
2026-08-04,LTC/USD,44.21715,44.93,43.9169,44.86245,76.667403898
2026-08-05,LTC/USD,44.82,45.34895,44.7005,45.22,13.916568582
2026-08-06,LTC/USD,45.304,45.78625,44.71,45.41,3.871477677
2026-08-07,LTC/USD,45.37875,45.554,45.35745,45.5185,0.0
2026-08-08,LTC/USD,45.5,46.0647,45.3633,46.0005,0.518003592
2026-08-09,LTC/USD,45.969,46.516,45.3643,45.42,71.568577469
2026-08-10,LTC/USD,45.3925,45.72235,44.96355,45.1145,9.281785252
2026-08-11,LTC/USD,45.0748,45.62,44.904,45.4315,16.1490058
2026-08-12,LTC/USD,45.44605,45.664,44.56,44.7011,29.848652772
2026-08-13,LTC/USD,44.91121,45.0266,44.508,44.676,9.878144296
2026-08-14,LTC/USD,44.8015,44.8992,43.248,43.57285,18.512746115
2026-08-15,LTC/USD,43.82055,44.33,43.496,44.06275,66.319852085
2026-08-16,LTC/USD,44.0895,44.72445,44.01715,44.0885,31.289921392
2026-08-17,LTC/USD,44.1185,44.6006,43.802,44.539,11.256788628
2026-08-18,LTC/USD,44.4861325,44.69405,44.064,44.5296,9.875539043
2026-08-19,LTC/USD,44.331,47.208121827,44.22,46.785,70.156839057
2026-08-20,LTC/USD,46.79575,48.8313,46.3955,48.111,391.089388498
2026-08-21,LTC/USD,47.82995,52.51,47.79375,52.39,162.797318481
2026-08-22,LTC/USD,53.1205,55.4165,49.17795,52.4485,57.08526102
2026-08-23,LTC/USD,52.49125,53.19055,50.619,52.29415,46.535883821
2026-08-24,LTC/USD,52.31,54.1883,51.248,51.763,57.826776782
2026-08-25,LTC/USD,51.62425,52.99,49.6238,50.0592,44.557615102
2026-08-26,LTC/USD,49.9301,50.9224,49.18495,50.5185,40.626546864
2026-08-27,LTC/USD,50.493,50.493,50.2235,50.3185,0.0
2026-08-28,LTC/USD,49.91525,50.50115,49.0205,49.223,37.605833334
2026-08-29,LTC/USD,49.291,49.504,48.969,48.9948,4.006380061
2026-08-30,LTC/USD,48.9847,50.2,47.345,47.95,32.387704234
2026-08-31,LTC/USD,47.91135,49.08,47.729,48.54015,5.705437725
2026-09-01,LTC/USD,48.52115,48.677,48.52115,48.63995,0.0
2026-09-02,LTC/USD,49.5525,49.92,48.48405,49.565,182.79458094
2026-09-03,LTC/USD,49.7009,52.764937563,49.47605,51.295,46.034497807
2026-09-04,LTC/USD,51.47395,51.6473,49.8186,50.821,48.455686511
